epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8989,0.85335,1.24254,1.07486,0.62454,0.8646,0.64419,0.48779,0.86326,1.18638,1.08845,0.000663793,0.000663793,0.000663793
2,125.746,0.93287,0.80511,1.12332,0.75389,0.8472,0.76381,0.57758,0.84874,1.15699,1.07528,0.00131729,0.00131729,0.00131729
3,191.795,0.93354,0.74628,1.12006,0.28752,0.71373,0.26796,0.20497,0.87833,1.50924,1.08844,0.00195758,0.00195758,0.00195758
4,258.882,0.92252,0.73302,1.11823,0.93312,0.92843,0.97305,0.75113,0.8234,0.65175,1.0578,0.0019406,0.0019406,0.0019406
5,322.975,0.87237,0.67094,1.09343,0.95094,0.93731,0.98556,0.78506,0.74477,0.54389,1.00829,0.0019208,0.0019208,0.0019208
6,386.51,0.83953,0.61766,1.06026,0.9641,0.94391,0.98216,0.80868,0.70054,0.50952,0.99189,0.001901,0.001901,0.001901
7,450.02,0.81546,0.59829,1.06818,0.97852,0.96922,0.99291,0.82503,0.67571,0.47873,0.9735,0.0018812,0.0018812,0.0018812
8,515.944,0.78402,0.57848,1.03507,0.95199,0.96518,0.99068,0.81737,0.67792,0.49981,0.97373,0.0018614,0.0018614,0.0018614
9,580.407,0.77078,0.54904,1.03221,0.95875,0.94404,0.98755,0.83088,0.65957,0.49764,0.9504,0.0018416,0.0018416,0.0018416
10,646.386,0.75505,0.54154,1.03185,0.95971,0.96758,0.99203,0.83353,0.63766,0.43518,0.95481,0.0018218,0.0018218,0.0018218
11,711.971,0.74791,0.52836,1.0256,0.97963,0.93012,0.98738,0.81546,0.69328,0.46627,0.97108,0.001802,0.001802,0.001802
12,777.443,0.74882,0.53202,1.01817,0.97797,0.97679,0.99327,0.84152,0.6197,0.42007,0.92966,0.0017822,0.0017822,0.0017822
13,842.057,0.73392,0.51437,1.0123,0.97462,0.96575,0.99257,0.85583,0.59507,0.39387,0.92625,0.0017624,0.0017624,0.0017624
14,903.237,0.70203,0.48282,0.99323,0.9704,0.97292,0.99257,0.84428,0.61689,0.40721,0.94858,0.0017426,0.0017426,0.0017426
15,962.551,0.7404,0.52251,1.0251,0.98474,0.96905,0.99289,0.84869,0.61029,0.4208,0.94427,0.0017228,0.0017228,0.0017228
16,1021.75,0.70542,0.50216,1.00421,0.97628,0.98066,0.99374,0.84003,0.62775,0.41218,0.93939,0.001703,0.001703,0.001703
17,1081.85,0.71161,0.48749,1.0007,0.98687,0.97099,0.99415,0.85854,0.58908,0.3842,0.91709,0.0016832,0.0016832,0.0016832
18,1142.04,0.67416,0.45715,0.9821,0.96602,0.98968,0.99372,0.85956,0.57901,0.36608,0.91058,0.0016634,0.0016634,0.0016634
19,1202.59,0.68438,0.47583,0.98593,0.99023,0.98839,0.99447,0.8598,0.57724,0.36526,0.90561,0.0016436,0.0016436,0.0016436
20,1262.31,0.65625,0.44595,0.97332,0.9921,0.97193,0.99424,0.85977,0.57108,0.35733,0.90873,0.0016238,0.0016238,0.0016238
21,1324.12,0.6807,0.45425,0.98522,0.99611,0.99026,0.9949,0.85513,0.57768,0.34659,0.91678,0.001604,0.001604,0.001604
22,1386.34,0.678,0.45004,0.97791,0.98312,0.98259,0.99381,0.8504,0.59798,0.36313,0.91603,0.0015842,0.0015842,0.0015842
23,1446.96,0.64698,0.43942,0.96708,0.98465,0.99252,0.99445,0.85631,0.58622,0.34473,0.90922,0.0015644,0.0015644,0.0015644
24,1505.16,0.63343,0.41799,0.96486,0.98836,0.98527,0.99469,0.86835,0.54784,0.33831,0.9061,0.0015446,0.0015446,0.0015446
25,1563.76,0.63354,0.42147,0.96058,0.98634,0.97778,0.99426,0.86514,0.57755,0.34281,0.90154,0.0015248,0.0015248,0.0015248
26,1621.27,0.64845,0.42579,0.976,0.98457,0.98744,0.99448,0.86855,0.55612,0.33825,0.90103,0.001505,0.001505,0.001505
27,1680.8,0.63322,0.41702,0.96126,0.99079,0.99033,0.99473,0.8729,0.53412,0.32843,0.88795,0.0014852,0.0014852,0.0014852
28,1739.43,0.61246,0.41393,0.95995,0.98642,0.98332,0.99443,0.86711,0.55623,0.3463,0.90013,0.0014654,0.0014654,0.0014654
29,1798.41,0.63609,0.41849,0.97058,0.99448,0.98453,0.99483,0.86832,0.54941,0.32171,0.90317,0.0014456,0.0014456,0.0014456
30,1859.76,0.62613,0.41422,0.97194,0.9922,0.98389,0.99461,0.87564,0.53892,0.3356,0.90008,0.0014258,0.0014258,0.0014258
31,1923.01,0.61234,0.3984,0.94882,0.97934,0.98646,0.99387,0.87419,0.54431,0.33444,0.90128,0.001406,0.001406,0.001406
32,1983.79,0.61379,0.39546,0.96057,0.98833,0.98324,0.99433,0.86966,0.55184,0.32654,0.90135,0.0013862,0.0013862,0.0013862
33,2047.27,0.62259,0.40983,0.95008,0.9828,0.99448,0.99473,0.87866,0.53161,0.31253,0.8817,0.0013664,0.0013664,0.0013664
34,2109.52,0.60138,0.39068,0.95497,0.98843,0.99127,0.99475,0.87971,0.51362,0.30033,0.88306,0.0013466,0.0013466,0.0013466
35,2172.11,0.6082,0.40115,0.95792,0.98658,0.99537,0.99459,0.87034,0.53567,0.31115,0.89213,0.0013268,0.0013268,0.0013268
36,2234.46,0.59147,0.39202,0.94407,0.993,0.98839,0.9949,0.87848,0.52909,0.30482,0.88551,0.001307,0.001307,0.001307
37,2295.27,0.59023,0.38732,0.94374,0.98226,0.9942,0.99469,0.88456,0.51259,0.30301,0.87715,0.0012872,0.0012872,0.0012872
38,2352.17,0.60119,0.38557,0.95058,0.98634,0.99613,0.99478,0.88728,0.49973,0.29709,0.87157,0.0012674,0.0012674,0.0012674
39,2408.8,0.59133,0.37694,0.93315,0.98841,0.98984,0.99467,0.88808,0.50139,0.30072,0.87497,0.0012476,0.0012476,0.0012476
40,2465.15,0.57866,0.3726,0.94283,0.99956,0.98066,0.99485,0.88032,0.52267,0.29736,0.88036,0.0012278,0.0012278,0.0012278
41,2521.47,0.58029,0.3814,0.94086,0.98438,0.99613,0.99453,0.8843,0.50152,0.28961,0.87524,0.001208,0.001208,0.001208
42,2577.97,0.57537,0.36534,0.93368,0.98989,0.99613,0.99488,0.88466,0.51166,0.29396,0.87539,0.0011882,0.0011882,0.0011882
43,2634.66,0.56634,0.36142,0.93515,0.98811,0.99226,0.99481,0.89061,0.49816,0.2768,0.87108,0.0011684,0.0011684,0.0011684
44,2691.77,0.56955,0.35958,0.93224,0.98815,0.99613,0.99443,0.88525,0.50095,0.29196,0.87142,0.0011486,0.0011486,0.0011486
45,2748.34,0.56992,0.3692,0.92465,0.99159,0.99613,0.99482,0.88687,0.485,0.28091,0.86804,0.0011288,0.0011288,0.0011288
46,2804.95,0.57529,0.36648,0.93929,0.98656,0.99423,0.99486,0.89578,0.49155,0.27741,0.86404,0.001109,0.001109,0.001109
47,2861.79,0.55595,0.35236,0.92815,0.98832,0.9942,0.99443,0.88362,0.50365,0.28036,0.87571,0.0010892,0.0010892,0.0010892
48,2918.76,0.54769,0.34617,0.92779,0.99267,0.9942,0.9949,0.88648,0.49696,0.27308,0.86365,0.0010694,0.0010694,0.0010694
49,2976.66,0.55148,0.34799,0.92588,0.98999,0.99807,0.99478,0.89072,0.48811,0.27588,0.86065,0.0010496,0.0010496,0.0010496
50,3034.32,0.54869,0.35432,0.92328,0.98758,0.9942,0.99467,0.89124,0.48841,0.28474,0.87007,0.0010298,0.0010298,0.0010298
51,3091.53,0.53126,0.33509,0.92045,0.98848,0.99608,0.99473,0.89865,0.47771,0.26331,0.85977,0.00101,0.00101,0.00101
52,3149.68,0.53895,0.34212,0.92141,0.99038,0.99596,0.9949,0.89073,0.48628,0.26328,0.86298,0.0009902,0.0009902,0.0009902
53,3207.07,0.53847,0.33491,0.92877,0.99319,0.9942,0.99488,0.89191,0.49027,0.27021,0.86052,0.0009704,0.0009704,0.0009704
54,3264.8,0.54289,0.33339,0.91948,0.98658,0.99561,0.99479,0.89663,0.48109,0.26299,0.86006,0.0009506,0.0009506,0.0009506
55,3322.77,0.53126,0.33067,0.91388,0.9885,0.99726,0.99494,0.89427,0.48105,0.25779,0.85708,0.0009308,0.0009308,0.0009308
